T(K),Rs(Ohmsq)
61.478,1145.22991
61.526,1158.46843
61.576,1166.35527
61.629,1180.51948
61.68,1189.40615
61.73,1199.93705
61.781,1211.75952
61.834,1216.7246
61.885,1229.21048
61.933,1240.14109
61.983,1249.43924
62.039,1263.40074
62.088,1272.61412
62.138,1288.22568
62.185,1300.54234
62.24,1301.12307
62.289,1310.50541
62.338,1323.27491
62.388,1332.86668
62.439,1344.05243
62.487,1352.88697
62.538,1360.67877
62.589,1370.48385
62.633,1379.71915
62.685,1390.30985
62.732,1399.78395
62.783,1409.29629
62.829,1415.12893
62.874,1427.49808
62.923,1437.5286
62.97,1453.499
63.016,1454.9833
63.069,1465.01602
63.115,1475.68882
63.164,1483.01488
63.211,1494.0356
63.259,1501.97217
63.308,1510.2241
63.355,1519.46075
63.399,1534.77147
63.449,1537.15374
63.494,1545.86259
63.543,1552.8606
63.589,1561.39749
63.642,1570.89891
63.687,1579.19636
63.732,1587.24955
63.779,1596.178
63.825,1604.66498
63.873,1612.1995
63.919,1619.9761
63.966,1627.34317
64.014,1629.85379
64.059,1644.45249
64.104,1657.87003
64.154,1660.57118
64.197,1660.58614
64.245,1675.61459
64.289,1682.63143
64.337,1691.2098
64.384,1692.22421
64.43,1705.87471
64.474,1713.16189
64.521,1720.03288
64.566,1729.10107
64.615,1742.08316
64.66,1743.9196
64.704,1756.40105
64.751,1757.64604
64.796,1765.65107
64.84,1769.28394
64.886,1779.53893
64.931,1786.61863
64.974,1800.90944
65.018,1799.21573
65.063,1801.22804
65.107,1815.0105
65.153,1821.12306
65.196,1826.77986
65.245,1835.26623
65.285,1846.84137
65.329,1846.52107
65.371,1848.16106
65.415,1861.09629
65.464,1866.47223
65.505,1873.39194
65.55,1879.23843
65.592,1891.58819
65.635,1891.50545
65.681,1898.71823
65.724,1911.7076
65.769,1910.199
65.812,1910.4002
65.854,1922.95237
65.897,1929.24943
65.942,1940.60398
65.987,1940.97448
66.028,1947.4362
66.071,1953.14826
66.116,1959.06739
66.157,1964.73242
66.201,1969.41289
66.245,1975.1801
66.285,1987.46598
66.329,1987.61613
66.369,1992.31452
66.415,1998.7173
66.452,2003.40798
66.498,2008.69215
66.54,2014.58106
66.581,2020.10576
66.624,2025.4592
66.667,2030.2457
66.709,2035.77183
66.75,2040.27107
66.79,2047.13422
66.833,2047.2179
66.879,2057.03699
66.915,2063.09642
66.96,2065.99565
67.002,2070.74496
67.042,2083.87396
67.086,2082.90734
67.127,2086.63483
67.171,2092.15117
67.217,2096.25489
67.258,2100.58521
67.297,2106.4154
67.34,2117.04673
67.382,2116.1288
67.423,2119.73664
67.464,2126.92176
67.507,2129.52746
67.549,2129.65411
67.591,2139.38204
67.635,2143.17368
67.673,2148.89128
67.716,2151.73827
67.756,2158.01712
67.798,2161.22299
67.84,2165.18554
67.877,2169.68208
67.919,2186.21674
67.965,2172.16722
68.005,2183.42364
68.044,2191.22403
68.084,2192.00127
68.124,2194.47257
68.166,2201.81672
68.203,2199.26961
68.246,2207.45157
68.282,2221.47914
68.324,2218.52096
68.362,2219.75307
68.399,2227.73157
68.444,2229.26591
68.481,2230.44252
68.526,2237.57625
68.56,2239.9782
68.603,2245.80182
68.641,2250.87995
68.675,2251.97481
68.72,2257.2229
68.753,2261.83411
68.794,2263.93359
68.834,2267.20767
68.875,2266.88641
68.914,2275.83252
68.951,2274.21399
68.994,2284.49114
69.031,2285.09414
69.069,2289.9921
69.109,2294.69211
69.149,2302.32822
69.19,2299.75362
69.229,2306.6273
69.266,2307.6967
69.303,2311.65256
69.341,2308.89204
69.384,2318.2324
69.421,2322.10805
69.461,2326.26801
69.498,2326.38728
69.54,2339.09664
69.579,2336.18265
69.618,2338.97743
69.658,2341.82906
69.696,2346.33989
69.731,2343.22457
69.771,2350.88002
69.809,2360.82718
69.844,2358.94013
69.887,2356.27869
69.923,2365.00865
69.962,2368.78048
70,2364.94626
70.037,2372.57093
70.076,2378.94572
70.112,2381.73941
70.154,2382.70779
70.189,2386.18082
70.228,2388.47485
70.267,2388.18267
70.307,2395.59744
70.34,2398.90355
70.379,2401.03228
70.418,2405.47585
70.453,2408.35454
70.494,2410.40953
70.534,2408.12392
70.57,2413.86992
70.603,2418.57345
70.646,2418.33192
70.683,2423.77593
70.719,2425.00738
70.754,2433.20588
70.791,2435.1732
70.832,2437.23718
70.867,2438.01282
70.906,2441.19008
