# Adapted from Miriade.ephemcc.results
# Request:
# targetType: Planet,targetNumber: 4,targetName: Mars,Diameter: 6780.00 km,Orbital period: 6.86980000E+02 d,Time_Scale: UTC,Planetary_Theory: INPOP13C,Coordinates: Ecliptic,frameType: Astrometric J2000,frameCentre: Geocenter
# Nb rows: 900
Target,Date,Longitude (d:m:s),Longitude (decimal),Latitude (d:m:s),Latitude (decimal)
Mars,2016-01-03,209 26 37.0663,209.44362953,+01 29 59.3339,1.49981497
Mars,2016-01-04,209 59 45.0982,209.99586061,+01 30 0.0569,1.50001581
Mars,2016-01-05,210 32 47.8684,210.54663011,+01 30 0.5138,1.50014272
Mars,2016-01-06,211 5 45.2436,211.09590100,+01 30 0.6964,1.50019344
Mars,2016-01-07,211 38 37.0866,211.64363517,+01 30 0.5964,1.50016567
Mars,2016-01-08,212 11 23.2580,212.18979389,+01 30 0.2059,1.50005719
Mars,2016-01-09,212 44 3.6172,212.73433811,+01 29 59.5171,1.49986586
Mars,2016-01-10,213 16 38.0250,213.27722917,+01 29 58.5229,1.49958969
Mars,2016-01-11,213 49 6.3458,213.81842939,+01 29 57.2167,1.49922686
Mars,2016-01-12,214 21 28.4505,214.35790292,+01 29 55.5927,1.49877575
Mars,2016-01-13,214 53 44.2187,214.89561631,+01 29 53.6463,1.49823508
Mars,2016-01-14,215 25 53.5399,215.43153886,+01 29 51.3733,1.49760369
Mars,2016-01-15,215 57 56.3133,215.96564258,+01 29 48.7705,1.49688069
Mars,2016-01-16,216 29 52.4468,216.49790189,+01 29 45.8349,1.49606525
Mars,2016-01-17,217 1 41.8542,217.02829283,+01 29 42.5637,1.49515658
Mars,2016-01-18,217 33 24.4526,217.55679239,+01 29 38.9538,1.49415383
Mars,2016-01-19,218 5 0.1589,218.08337747,+01 29 35.0015,1.49305597
Mars,2016-01-20,218 36 28.8863,218.60802397,+01 29 30.7023,1.49186175
Mars,2016-01-21,219 7 50.5415,219.13070597,+01 29 26.0505,1.49056958
Mars,2016-01-22,219 39 5.0214,219.65139483,+01 29 21.0396,1.48917767
Mars,2016-01-23,220 10 12.2112,220.17005867,+01 29 15.6614,1.48768372
Mars,2016-01-24,220 41 11.9824,220.68666178,+01 29 9.9066,1.48608517
Mars,2016-01-25,221 12 4.1927,221.20116464,+01 29 3.7648,1.48437911
Mars,2016-01-26,221 42 48.6858,221.71352383,+01 28 57.2245,1.48256236
Mars,2016-01-27,222 13 25.2923,222.22369231,+01 28 50.2733,1.48063147
Mars,2016-01-28,222 43 53.8313,222.73161981,+01 28 42.8983,1.47858286
Mars,2016-01-29,223 14 14.1111,223.23725308,+01 28 35.0859,1.47641275
Mars,2016-01-30,223 44 25.9309,223.74053636,+01 28 26.8222,1.47411728
Mars,2016-01-31,224 14 29.0811,224.24141142,+01 28 18.0931,1.47169253
Mars,2016-02-01,224 44 23.3439,224.73981775,+01 28 8.8840,1.46913444
Mars,2016-02-02,225 14 8.4937,225.23569269,+01 27 59.1802,1.46643894
Mars,2016-02-03,225 43 44.2971,225.72897142,+01 27 48.9671,1.46360197
Mars,2016-02-04,226 13 10.5130,226.21958694,+01 27 38.2297,1.46061936
Mars,2016-02-05,226 42 26.8936,226.70747044,+01 27 26.9534,1.45748706
Mars,2016-02-06,227 11 33.1857,227.19255158,+01 27 15.1238,1.45420106
Mars,2016-02-07,227 40 29.1334,227.67475928,+01 27 2.7269,1.45075747
Mars,2016-02-08,228 9 14.4813,228.15402258,+01 26 49.7497,1.44715269
Mars,2016-02-09,228 37 48.9793,228.63027203,+01 26 36.1798,1.44338328
Mars,2016-02-10,229 6 12.3861,229.10344058,+01 26 22.0061,1.43944614
Mars,2016-02-11,229 34 24.4723,229.57346453,+01 26 7.2180,1.43533833
Mars,2016-02-12,230 2 25.0213,230.04028369,+01 25 51.8054,1.43105706
Mars,2016-02-13,230 30 13.8270,230.50384083,+01 25 35.7583,1.42659953
Mars,2016-02-14,230 57 50.6901,230.96408058,+01 25 19.0662,1.42196283
Mars,2016-02-15,231 25 15.4131,231.42094808,+01 25 1.7173,1.41714369
Mars,2016-02-16,231 52 27.7949,231.87438747,+01 24 43.6987,1.41213853
Mars,2016-02-17,232 19 27.6265,232.32434069,+01 24 24.9959,1.40694331
Mars,2016-02-18,232 46 14.6876,232.77074656,+01 24 5.5928,1.40155356
Mars,2016-02-19,233 12 48.7432,233.21353978,+01 23 45.4713,1.39596425
Mars,2016-02-20,233 39 9.5421,233.65265058,+01 23 24.6120,1.39017000
Mars,2016-02-21,234 5 16.8153,234.08800425,+01 23 2.9937,1.38416492
Mars,2016-02-22,234 31 10.2751,234.51952086,+01 22 40.5940,1.37794278
Mars,2016-02-23,234 56 49.6148,234.94711522,+01 22 17.3889,1.37149692
Mars,2016-02-24,235 22 14.5091,235.37069697,+01 21 53.3534,1.36482039
Mars,2016-02-25,235 47 24.6145,235.79017069,+01 21 28.4616,1.35790600
Mars,2016-02-26,236 12 19.5701,236.20543614,+01 21 2.6868,1.35074633
Mars,2016-02-27,236 36 58.9991,236.61638864,+01 20 36.0016,1.34333378
Mars,2016-02-28,237 1 22.5088,237.02291911,+01 20 8.3781,1.33566058
Mars,2016-02-29,237 25 29.6919,237.42491442,+01 19 39.7877,1.32771881
Mars,2016-03-01,237 49 20.1266,237.82225739,+01 19 10.2017,1.31950047
Mars,2016-03-02,238 12 53.3768,238.21482689,+01 18 39.5911,1.31099753
Mars,2016-03-03,238 36 8.9925,238.60249792,+01 18 7.9263,1.30220175
Mars,2016-03-04,238 59 6.5106,238.98514183,+01 17 35.1783,1.29310508
Mars,2016-03-05,239 21 45.4563,239.36262675,+01 17 1.3177,1.28369936
Mars,2016-03-06,239 44 5.3455,239.73481819,+01 16 26.3160,1.27397667
Mars,2016-03-07,240 6 5.6900,240.10158056,+01 15 50.1451,1.26392919
Mars,2016-03-08,240 27 46.0029,240.46277858,+01 15 12.7780,1.25354944
Mars,2016-03-09,240 49 5.8051,240.81827919,+01 14 34.1888,1.24283022
Mars,2016-03-10,241 10 4.6318,241.16795328,+01 13 54.3520,1.23176444
Mars,2016-03-11,241 30 42.0345,241.51167625,+01 13 13.2423,1.22034508
Mars,2016-03-12,241 50 57.5802,241.84932783,+01 12 30.8341,1.20856503
Mars,2016-03-13,242 10 50.8454,242.18079039,+01 11 47.0999,1.19641664
Mars,2016-03-14,242 30 21.4084,242.50594678,+01 11 2.0105,1.18389181
Mars,2016-03-15,242 49 28.8408,242.82467800,+01 10 15.5342,1.17098172
Mars,2016-03-16,243 8 12.7008,243.13686133,+01 9 27.6364,1.15767678
Mars,2016-03-17,243 26 32.5282,243.44236894,+01 8 38.2804,1.14396678
Mars,2016-03-18,243 44 27.8415,243.74106708,+01 7 47.4269,1.12984081
Mars,2016-03-19,244 1 58.1360,244.03281556,+01 6 55.0346,1.11528739
Mars,2016-03-20,244 19 2.8836,244.31746767,+01 6 1.0601,1.10029447
Mars,2016-03-21,244 35 41.5321,244.59487003,+01 5 5.4584,1.08484956
Mars,2016-03-22,244 51 53.5056,244.86486267,+01 4 8.1831,1.06893975
Mars,2016-03-23,245 7 38.2049,245.12727914,+01 3 9.1863,1.05255175
Mars,2016-03-24,245 22 55.0080,245.38194667,+01 2 8.4191,1.03567197
Mars,2016-03-25,245 37 43.2711,245.62868642,+01 1 5.8319,1.01828664
Mars,2016-03-26,245 52 2.3300,245.86731389,+01 0 1.3742,1.00038172
Mars,2016-03-27,246 5 51.5018,246.09763939,+00 58 54.9954,0.98194317
Mars,2016-03-28,246 19 10.0858,246.31946828,+00 57 46.6444,0.96295678
Mars,2016-03-29,246 31 57.3661,246.53260169,+00 56 36.2703,0.94340842
Mars,2016-03-30,246 44 12.6124,246.73683678,+00 55 23.8224,0.92328400
Mars,2016-03-31,246 55 55.0827,246.93196742,+00 54 9.2505,0.90256958
Mars,2016-04-01,247 7 4.0254,247.11778483,+00 52 52.5052,0.88125144
Mars,2016-04-02,247 17 38.6829,247.29407858,+00 51 33.5383,0.85931619
Mars,2016-04-03,247 27 38.2965,247.46063792,+00 50 12.3032,0.83675089
Mars,2016-04-04,247 37 2.1137,247.61725381,+00 48 48.7556,0.81354322
Mars,2016-04-05,247 45 49.3975,247.76372153,+00 47 22.8533,0.78968147
Mars,2016-04-06,247 53 59.4378,247.89984383,+00 45 54.5571,0.76515475
Mars,2016-04-07,248 1 31.5614,248.02543372,+00 44 23.8298,0.73995272
Mars,2016-04-08,248 8 25.1402,248.14031672,+00 42 50.6361,0.71406558
Mars,2016-04-09,248 14 39.5925,248.24433125,+00 41 14.9414,0.68748372
Mars,2016-04-10,248 20 14.3776,248.33732711,+00 39 36.7107,0.66019742
Mars,2016-04-11,248 25 8.9865,248.41916292,+00 37 55.9080,0.63219667
Mars,2016-04-12,248 29 22.9300,248.48970278,+00 36 12.4958,0.60347106
Mars,2016-04-13,248 32 55.7303,248.54881397,+00 34 26.4353,0.57400981
Mars,2016-04-14,248 35 46.9156,248.59636544,+00 32 37.6875,0.54380208
Mars,2016-04-15,248 37 56.0191,248.63222753,+00 30 46.2131,0.51283697
Mars,2016-04-16,248 39 22.5805,248.65627236,+00 28 51.9738,0.48110383
Mars,2016-04-17,248 40 6.1494,248.66837483,+00 26 54.9329,0.44859247
Mars,2016-04-18,248 40 6.2895,248.66841375,+00 24 55.0560,0.41529333
Mars,2016-04-19,248 39 22.5827,248.65627297,+00 22 52.3112,0.38119756
Mars,2016-04-20,248 37 54.6340,248.63184278,+00 20 46.6705,0.34629736
Mars,2016-04-21,248 35 42.0760,248.59502111,+00 18 38.1096,0.31058600
Mars,2016-04-22,248 32 44.5737,248.54571492,+00 16 26.6091,0.27405808
Mars,2016-04-23,248 29 1.8302,248.48384172,+00 14 12.1549,0.23670969
Mars,2016-04-24,248 24 33.5926,248.40933128,+00 11 54.7391,0.19853864
Mars,2016-04-25,248 19 19.6586,248.32212739,+00 9 34.3607,0.15954464
Mars,2016-04-26,248 13 19.8834,248.22218983,+00 7 11.0259,0.11972942
Mars,2016-04-27,248 6 34.1879,248.10949664,+00 4 44.7498,0.07909717
Mars,2016-04-28,247 59 2.5662,247.98404617,+00 2 15.5560,0.03765444
Mars,2016-04-29,247 50 45.0953,247.84585981,-00 0 16.5216,-0.00458933
Mars,2016-04-30,247 41 41.9443,247.69498453,-00 2 51.4387,-0.04762186
Mars,2016-05-01,247 31 53.3865,247.53149625,-00 5 29.1395,-0.09142764
Mars,2016-05-02,247 21 19.8114,247.35550317,-00 8 9.5564,-0.13598789
Mars,2016-05-03,247 10 1.7403,247.16715008,-00 10 52.6090,-0.18128028
Mars,2016-05-04,246 57 59.8404,246.96662233,-00 13 38.2048,-0.22727911
Mars,2016-05-05,246 45 14.9386,246.75414961,-00 16 26.2390,-0.27395528
Mars,2016-05-06,246 31 48.0296,246.53000822,-00 19 16.5963,-0.32127675
Mars,2016-05-07,246 17 40.2752,246.29452089,-00 22 9.1523,-0.36920897
Mars,2016-05-08,246 2 52.9947,246.04805408,-00 25 3.7755,-0.41771542
Mars,2016-05-09,245 47 27.6465,245.79101292,-00 28 0.3288,-0.46675800
Mars,2016-05-10,245 31 25.8087,245.52383575,-00 30 58.6703,-0.51629731
Mars,2016-05-11,245 14 49.1612,245.24698922,-00 33 58.6533,-0.56629258
Mars,2016-05-12,244 57 39.4737,244.96096492,-00 37 0.1257,-0.61670158
Mars,2016-05-13,244 39 58.5992,244.66627756,-00 40 2.9297,-0.66748047
Mars,2016-05-14,244 21 48.4713,244.36346425,-00 43 6.9012,-0.71858367
Mars,2016-05-15,244 3 11.1036,244.05308433,-00 46 11.8692,-0.76996367
Mars,2016-05-16,243 44 8.5878,243.73571883,-00 49 17.6564,-0.82157122
Mars,2016-05-17,243 24 43.0923,243.41197008,-00 52 24.0792,-0.87335533
Mars,2016-05-18,243 4 56.8582,243.08246061,-00 55 30.9479,-0.92526331
Mars,2016-05-19,242 44 52.1950,242.74783194,-00 58 38.0675,-0.97724097
Mars,2016-05-20,242 24 31.4749,242.40874303,-01 1 45.2384,-1.02923289
Mars,2016-05-21,242 3 57.1269,242.06586858,-01 4 52.2564,-1.08118233
Mars,2016-05-22,241 43 11.6306,241.71989739,-01 7 58.9141,-1.13303169
Mars,2016-05-23,241 22 17.5106,241.37153072,-01 11 5.0006,-1.18472239
Mars,2016-05-24,241 1 17.3310,241.02148083,-01 14 10.3029,-1.23619525
Mars,2016-05-25,240 40 13.6906,240.67046961,-01 17 14.6060,-1.28739056
Mars,2016-05-26,240 19 9.2183,240.31922731,-01 20 17.6941,-1.33824836
Mars,2016-05-27,239 58 6.5689,239.96849136,-01 23 19.3512,-1.38870867
Mars,2016-05-28,239 37 8.4189,239.61900525,-01 26 19.3622,-1.43871172
Mars,2016-05-29,239 16 17.4624,239.27151733,-01 29 17.5140,-1.48819833
Mars,2016-05-30,238 55 36.4077,238.92677992,-01 32 13.5967,-1.53711019
Mars,2016-05-31,238 35 7.9722,238.58554783,-01 35 7.4056,-1.58539044
Mars,2016-06-01,238 14 54.8769,238.24857692,-01 37 58.7426,-1.63298406
Mars,2016-06-02,237 54 59.8373,237.91662147,-01 40 47.4187,-1.67983853
Mars,2016-06-03,237 35 25.5490,237.59043028,-01 43 33.2571,-1.72590475
Mars,2016-06-04,237 16 14.6673,237.27074092,-01 46 16.0954,-1.77113761
Mars,2016-06-05,236 57 29.7796,236.95827211,-01 48 55.7882,-1.81549672
Mars,2016-06-06,236 39 13.3762,236.65371561,-01 51 32.2089,-1.85894692
Mars,2016-06-07,236 21 27.8225,236.35772847,-01 54 5.2493,-1.90145814
Mars,2016-06-08,236 4 15.3378,236.07092717,-01 56 34.8195,-1.94300542
Mars,2016-06-09,235 47 37.9833,235.79388425,-01 59 0.8460,-1.98356833
Mars,2016-06-10,235 31 37.6583,235.52712731,-02 1 23.2695,-2.02313042
Mars,2016-06-11,235 16 16.1020,235.27113944,-02 3 42.0438,-2.06167883
Mars,2016-06-12,235 1 34.8990,235.02636083,-02 5 57.1341,-2.09920392
Mars,2016-06-13,234 47 35.4849,234.79319025,-02 8 8.5157,-2.13569881
Mars,2016-06-14,234 34 19.1520,234.57198667,-02 10 16.1735,-2.17115931
Mars,2016-06-15,234 21 47.0553,234.36307092,-02 12 20.1006,-2.20558350
Mars,2016-06-16,234 10 0.2166,234.16672683,-02 14 20.2985,-2.23897181
Mars,2016-06-17,233 58 59.5297,233.98320269,-02 16 16.7754,-2.27132650
Mars,2016-06-18,233 48 45.7660,233.81271278,-02 18 9.5458,-2.30265161
Mars,2016-06-19,233 39 19.5802,233.65543894,-02 19 58.6296,-2.33295267
Mars,2016-06-20,233 30 41.5185,233.51153292,-02 21 44.0510,-2.36223639
Mars,2016-06-21,233 22 52.0267,233.38111853,-02 23 25.8376,-2.39051044
Mars,2016-06-22,233 15 51.4604,233.26429456,-02 25 4.0197,-2.41778325
Mars,2016-06-23,233 9 40.0955,233.16113764,-02 26 38.6296,-2.44406378
Mars,2016-06-24,233 4 18.1386,233.07170517,-02 28 9.7013,-2.46936147
Mars,2016-06-25,232 59 45.7377,232.99603825,-02 29 37.2700,-2.49368611
Mars,2016-06-26,232 56 2.9903,232.93416397,-02 31 1.3730,-2.51704806
Mars,2016-06-27,232 53 9.9511,232.88609753,-02 32 22.0494,-2.53945817
Mars,2016-06-28,232 51 6.6373,232.85184369,-02 33 39.3413,-2.56092814
Mars,2016-06-29,232 49 53.0306,232.83139739,-02 34 53.2944,-2.58147067
Mars,2016-06-30,232 49 29.0777,232.82474381,-02 36 3.9589,-2.60109969
Mars,2016-07-01,232 49 54.6860,232.83185722,-02 37 11.3910,-2.61983083
Mars,2016-07-02,232 51 9.7175,232.85269931,-02 38 15.6531,-2.63768142
Mars,2016-07-03,232 53 13.9793,232.88721647,-02 39 16.8147,-2.65467075
Mars,2016-07-04,232 56 7.2147,232.93533742,-02 40 14.9517,-2.67081992
Mars,2016-07-05,232 59 49.0953,232.99697092,-02 41 10.1459,-2.68615164
Mars,2016-07-06,233 4 19.2187,233.07200519,-02 42 2.4830,-2.70068972
Mars,2016-07-07,233 9 37.1095,233.16030819,-02 42 52.0514,-2.71445872
Mars,2016-07-08,233 15 42.2265,233.26172958,-02 43 38.9395,-2.72748319
Mars,2016-07-09,233 22 33.9719,233.37610331,-02 44 23.2348,-2.73978744
Mars,2016-07-10,233 30 11.7013,233.50325036,-02 45 5.0227,-2.75139519
Mars,2016-07-11,233 38 34.7334,233.64298150,-02 45 44.3857,-2.76232936
Mars,2016-07-12,233 47 42.3583,233.79509953,-02 46 21.4031,-2.77261197
Mars,2016-07-13,233 57 33.8438,233.95940106,-02 46 56.1505,-2.78226403
Mars,2016-07-14,234 8 8.4413,234.13567814,-02 47 28.7001,-2.79130558
Mars,2016-07-15,234 19 25.3891,234.32371919,-02 47 59.1204,-2.79975567
Mars,2016-07-16,234 31 23.9169,234.52331025,-02 48 27.4760,-2.80763222
Mars,2016-07-17,234 44 3.2494,234.73423594,-02 48 53.8275,-2.81495208
Mars,2016-07-18,234 57 22.6103,234.95628064,-02 49 18.2309,-2.82173081
Mars,2016-07-19,235 11 21.2281,235.18923003,-02 49 40.7378,-2.82798272
Mars,2016-07-20,235 25 58.3411,235.43287253,-02 50 1.3950,-2.83372083
Mars,2016-07-21,235 41 13.2049,235.68700136,-02 50 20.2445,-2.83895681
Mars,2016-07-22,235 57 5.0984,235.95141622,-02 50 37.3239,-2.84370108
Mars,2016-07-23,236 13 33.3296,236.22592489,-02 50 52.6670,-2.84796306
Mars,2016-07-24,236 30 37.2395,236.51034431,-02 51 6.3048,-2.85175133
Mars,2016-07-25,236 48 16.2033,236.80450092,-02 51 18.2666,-2.85507406
Mars,2016-07-26,237 6 29.6291,237.10823031,-02 51 28.5814,-2.85793928
Mars,2016-07-27,237 25 16.9546,237.42137628,-02 51 37.2787,-2.86035519
Mars,2016-07-28,237 44 37.6406,237.74378906,-02 51 44.3900,-2.86233056
Mars,2016-07-29,238 4 31.1647,238.07532353,-02 51 49.9493,-2.86387481
Mars,2016-07-30,238 24 57.0133,238.41583703,-02 51 53.9936,-2.86499822
Mars,2016-07-31,238 45 54.6737,238.76518714,-02 51 56.5627,-2.86571186
Mars,2016-08-01,239 7 23.6270,239.12322972,-02 51 57.6995,-2.86602764
Mars,2016-08-02,239 29 23.3428,239.48981744,-02 51 57.4489,-2.86595803
Mars,2016-08-03,239 51 53.2754,239.86479872,-02 51 55.8566,-2.86551572
Mars,2016-08-04,240 14 52.8635,240.24801764,-02 51 52.9689,-2.86471358
Mars,2016-08-05,240 38 21.5318,240.63931439,-02 51 48.8309,-2.86356414
Mars,2016-08-06,241 2 18.6944,241.03852622,-02 51 43.4858,-2.86207939
Mars,2016-08-07,241 26 43.7592,241.44548867,-02 51 36.9746,-2.86027072
Mars,2016-08-08,241 51 36.1325,241.86003681,-02 51 29.3354,-2.85814872
Mars,2016-08-09,242 16 55.2220,242.28200611,-02 51 20.6034,-2.85572317
Mars,2016-08-10,242 42 40.4404,242.71123344,-02 51 10.8111,-2.85300308
Mars,2016-08-11,243 8 51.2068,243.14755744,-02 50 59.9879,-2.84999664
Mars,2016-08-12,243 35 26.9477,243.59081881,-02 50 48.1606,-2.84671128
Mars,2016-08-13,244 2 27.0984,244.04086067,-02 50 35.3530,-2.84315361
Mars,2016-08-14,244 29 51.1034,244.49752872,-02 50 21.5863,-2.83932953
Mars,2016-08-15,244 57 38.4177,244.96067158,-02 50 6.8785,-2.83524403
Mars,2016-08-16,245 25 48.5090,245.43014139,-02 49 51.2445,-2.83090125
Mars,2016-08-17,245 54 20.8610,245.90579472,-02 49 34.6957,-2.82630436
Mars,2016-08-18,246 23 14.9778,246.38749383,-02 49 17.2403,-2.82145564
Mars,2016-08-19,246 52 30.3893,246.87510814,-02 48 58.8836,-2.81635656
Mars,2016-08-20,247 22 6.6554,247.36851539,-02 48 39.6283,-2.81100786
Mars,2016-08-21,247 52 3.3704,247.86760289,-02 48 19.4758,-2.80540994
Mars,2016-08-22,248 22 20.1626,248.37226739,-02 47 58.4274,-2.79956317
Mars,2016-08-23,248 52 56.6930,248.88241472,-02 47 36.4856,-2.79346822
Mars,2016-08-24,249 23 52.6494,249.39795817,-02 47 13.6548,-2.78712633
Mars,2016-08-25,249 55 7.7403,249.91881675,-02 46 49.9428,-2.78053967
Mars,2016-08-26,250 26 41.6868,250.44491300,-02 46 25.3601,-2.77371114
Mars,2016-08-27,250 58 34.2166,250.97617128,-02 45 59.9208,-2.76664467
Mars,2016-08-28,251 30 45.0573,251.51251592,-02 45 33.6418,-2.75934494
Mars,2016-08-29,252 3 13.9327,252.05387019,-02 45 6.5421,-2.75181725
Mars,2016-08-30,252 36 0.5587,252.60015519,-02 44 38.6428,-2.74406744
Mars,2016-08-31,253 9 4.6418,253.15128939,-02 44 9.9660,-2.73610167
Mars,2016-09-01,253 42 25.8783,253.70718842,-02 43 40.5340,-2.72792611
Mars,2016-09-02,254 16 3.9544,254.26776511,-02 43 10.3688,-2.71954689
Mars,2016-09-03,254 49 58.5482,254.83293006,-02 42 39.4918,-2.71096994
Mars,2016-09-04,255 24 9.3312,255.40259200,-02 42 7.9229,-2.70220081
Mars,2016-09-05,255 58 35.9707,255.97665853,-02 41 35.6805,-2.69324458
Mars,2016-09-06,256 33 18.1324,256.55503678,-02 41 2.7812,-2.68410589
Mars,2016-09-07,257 8 15.4819,257.13763386,-02 40 29.2401,-2.67478892
Mars,2016-09-08,257 43 27.6861,257.72435725,-02 39 55.0702,-2.66529728
Mars,2016-09-09,258 18 54.4143,258.31511508,-02 39 20.2831,-2.65563419
Mars,2016-09-10,258 54 35.3385,258.90981625,-02 38 44.8885,-2.64580236
Mars,2016-09-11,259 30 30.1339,259.50837053,-02 38 8.8944,-2.63580400
Mars,2016-09-12,260 6 38.4797,260.11068881,-02 37 32.3067,-2.62564075
Mars,2016-09-13,260 43 0.0596,260.71668322,-02 36 55.1295,-2.61531375
Mars,2016-09-14,261 19 34.5648,261.32626800,-02 36 17.3645,-2.60482347
Mars,2016-09-15,261 56 21.6971,261.93936031,-02 35 39.0113,-2.59416981
Mars,2016-09-16,262 33 21.1735,262.55588153,-02 35 0.0672,-2.58335200
Mars,2016-09-17,263 10 32.7319,263.17575886,-02 34 20.5279,-2.57236886
Mars,2016-09-18,263 47 56.1357,263.79892658,-02 33 40.3886,-2.56121906
Mars,2016-09-19,264 25 31.1764,264.42532678,-02 32 59.6447,-2.54990131
Mars,2016-09-20,265 3 17.6725,265.05490903,-02 32 18.2934,-2.53841483
Mars,2016-09-21,265 41 15.4655,265.68762931,-02 31 36.3348,-2.52675967
Mars,2016-09-22,266 19 24.4132,266.32344811,-02 30 53.7718,-2.51493661
Mars,2016-09-23,266 57 44.3821,266.96232836,-02 30 10.6110,-2.50294750
Mars,2016-09-24,267 36 15.2413,267.60423369,-02 29 26.8619,-2.49079497
Mars,2016-09-25,268 14 56.8570,268.24912694,-02 28 42.5362,-2.47848228
Mars,2016-09-26,268 53 49.0895,268.89696931,-02 27 57.6478,-2.46601328
Mars,2016-09-27,269 32 51.7912,269.54771978,-02 27 12.2117,-2.45339214
Mars,2016-09-28,270 12 4.8057,270.20133492,-02 26 26.2434,-2.44062317
Mars,2016-09-29,270 51 27.9673,270.85776869,-02 25 39.7589,-2.42771081
Mars,2016-09-30,271 31 1.1016,271.51697267,-02 24 52.7740,-2.41465944
Mars,2016-10-01,272 10 44.0260,272.17889611,-02 24 5.3037,-2.40147325
Mars,2016-10-02,272 50 36.5502,272.84348617,-02 23 17.3625,-2.38815625
Mars,2016-10-03,273 30 38.4781,273.51068836,-02 22 28.9638,-2.37471217
Mars,2016-10-04,274 10 49.6086,274.18044683,-02 21 40.1198,-2.36114439
Mars,2016-10-05,274 51 9.7368,274.85270467,-02 20 50.8416,-2.34745600
Mars,2016-10-06,275 31 38.6553,275.52740425,-02 20 1.1389,-2.33364969
Mars,2016-10-07,276 12 16.1550,276.20448750,-02 19 11.0204,-2.31972789
Mars,2016-10-08,276 53 2.0254,276.88389594,-02 18 20.4933,-2.30569258
Mars,2016-10-09,277 33 56.0554,277.56557094,-02 17 29.5636,-2.29154544
Mars,2016-10-10,278 14 58.0336,278.24945378,-02 16 38.2360,-2.27728778
Mars,2016-10-11,278 56 7.7488,278.93548578,-02 15 46.5136,-2.26292044
Mars,2016-10-12,279 37 24.9915,279.62360875,-02 14 54.3983,-2.24844397
Mars,2016-10-13,280 18 49.5563,280.31376564,-02 14 1.8899,-2.23385831
Mars,2016-10-14,281 0 21.2453,281.00590147,-02 13 8.9871,-2.21916308
Mars,2016-10-15,281 41 59.8736,281.69996489,-02 12 15.6872,-2.20435756
Mars,2016-10-16,282 23 45.2740,282.39590944,-02 11 21.9873,-2.18944092
Mars,2016-10-17,283 5 37.3020,283.09369500,-02 10 27.8848,-2.17441244
Mars,2016-10-18,283 47 35.8369,283.79328803,-02 9 33.3790,-2.15927194
Mars,2016-10-19,284 29 40.7802,284.49466117,-02 8 38.4713,-2.14401981
Mars,2016-10-20,285 11 52.0500,285.19779167,-02 7 43.1667,-2.12865742
Mars,2016-10-21,285 54 9.5739,285.90265942,-02 6 47.4726,-2.11318683
Mars,2016-10-22,286 36 33.2821,286.60924503,-02 5 51.3993,-2.09761092
Mars,2016-10-23,287 19 3.1026,287.31752850,-02 4 54.9591,-2.08193308
Mars,2016-10-24,288 1 38.9573,288.02748814,-02 3 58.1653,-2.06615703
Mars,2016-10-25,288 44 20.7609,288.73910025,-02 3 1.0321,-2.05028669
Mars,2016-10-26,289 27 8.4199,289.45233886,-02 2 3.5739,-2.03432608
Mars,2016-10-27,290 10 1.8332,290.16717589,-02 1 5.8049,-2.01827914
Mars,2016-10-28,290 53 0.8920,290.88358111,-02 0 7.7393,-2.00214981
Mars,2016-10-29,291 36 5.4805,291.60152236,-01 59 9.3906,-1.98594183
Mars,2016-10-30,292 19 15.4762,292.32096561,-01 58 10.7715,-1.96965875
Mars,2016-10-31,293 2 30.7506,293.04187517,-01 57 11.8943,-1.95330397
Mars,2016-11-01,293 45 51.1693,293.76421369,-01 56 12.7700,-1.93688056
Mars,2016-11-02,294 29 16.5930,294.48794250,-01 55 13.4090,-1.92039139
Mars,2016-11-03,295 12 46.8781,295.21302169,-01 54 13.8205,-1.90383903
Mars,2016-11-04,295 56 21.8772,295.93941033,-01 53 14.0126,-1.88722572
Mars,2016-11-05,296 40 1.4395,296.66706653,-01 52 13.9927,-1.87055353
Mars,2016-11-06,297 23 45.4120,297.39594778,-01 51 13.7667,-1.85382408
Mars,2016-11-07,298 7 33.6389,298.12601081,-01 50 13.3396,-1.83703878
Mars,2016-11-08,298 51 25.9633,298.85721203,-01 49 12.7156,-1.82019878
Mars,2016-11-09,299 35 22.2273,299.58950758,-01 48 11.8974,-1.80330483
Mars,2016-11-10,300 19 22.2737,300.32285381,-01 47 10.8867,-1.78635742
Mars,2016-11-11,301 3 25.9488,301.05720800,-01 46 9.6843,-1.76935675
Mars,2016-11-12,301 47 33.1056,301.79252933,-01 45 8.2905,-1.75230292
Mars,2016-11-13,302 31 43.6088,302.52878022,-01 44 6.7051,-1.73519586
Mars,2016-11-14,303 15 57.3397,303.26592769,-01 43 4.9285,-1.71803569
Mars,2016-11-15,304 0 14.1995,304.00394431,-01 42 2.9627,-1.70082297
Mars,2016-11-16,304 44 34.1100,304.74280833,-01 41 0.8116,-1.68355878
Mars,2016-11-17,305 28 57.0113,305.48250314,-01 39 58.4817,-1.66624492
Mars,2016-11-18,306 13 22.8556,306.22301544,-01 38 55.9818,-1.64888383
Mars,2016-11-19,306 57 51.6013,306.96433369,-01 37 53.3227,-1.63147853
Mars,2016-11-20,307 42 23.2070,307.70644639,-01 36 50.5169,-1.61403247
