# Adapted from Miriade.ephemcc.results
# Request:
# targetType: Planet,targetNumber: 4,targetName: Mars,Diameter: 6780.00 km,Orbital period: 6.86980000E+02 d,Time_Scale: UTC,Planetary_Theory: INPOP13C,Coordinates: Ecliptic,frameType: Astrometric J2000,frameCentre: Geocenter
# Nb rows: 900
Target,Date,Longitude (d:m:s),Longitude (decimal),Latitude (d:m:s),Latitude (decimal)
Mars,2015-05-10,58 17 45.4362,58.29595450,+00 17 26.6106,0.29072517
Mars,2015-05-11,59 0 15.5567,59.00432131,+00 18 2.3547,0.30065408
Mars,2015-05-12,59 42 42.8769,59.71191025,+00 18 37.9311,0.31053642
Mars,2015-05-13,60 25 7.4097,60.41872492,+00 19 13.3415,0.32037264
Mars,2015-05-14,61 7 29.1607,61.12476686,+00 19 48.5878,0.33016328
Mars,2015-05-15,61 49 48.1277,61.83003547,+00 20 23.6727,0.33990908
Mars,2015-05-16,62 32 4.3009,62.53452803,+00 20 58.5992,0.34961089
Mars,2015-05-17,63 14 17.6642,63.23824006,+00 21 33.3701,0.35926947
Mars,2015-05-18,63 56 28.1971,63.94116586,+00 22 7.9881,0.36888558
Mars,2015-05-19,64 38 35.8773,64.64329925,+00 22 42.4549,0.37845969
Mars,2015-05-20,65 20 40.6832,65.34463422,+00 23 16.7720,0.38799222
Mars,2015-05-21,66 2 42.5963,66.04516564,+00 23 50.9395,0.39748319
Mars,2015-05-22,66 44 41.6023,66.74488953,+00 24 24.9571,0.40693253
Mars,2015-05-23,67 26 37.6920,67.44380333,+00 24 58.8238,0.41633994
Mars,2015-05-24,68 8 30.8612,68.14190589,+00 25 32.5382,0.42570506
Mars,2015-05-25,68 50 21.1103,68.83919731,+00 26 6.0982,0.43502728
Mars,2015-05-26,69 32 8.4442,69.53567894,+00 26 39.5016,0.44430600
Mars,2015-05-27,70 13 52.8713,70.23135314,+00 27 12.7462,0.45354061
Mars,2015-05-28,70 55 34.4038,70.92622328,+00 27 45.8293,0.46273036
Mars,2015-05-29,71 37 13.0575,71.62029375,+00 28 18.7483,0.47187453
Mars,2015-05-30,72 18 48.8518,72.31356994,+00 28 51.5005,0.48097236
Mars,2015-05-31,73 0 21.8096,73.00605822,+00 29 24.0830,0.49002306
Mars,2015-06-01,73 41 51.9581,73.69776614,+00 29 56.4934,0.49902594
Mars,2015-06-02,74 23 19.3281,74.38870225,+00 30 28.7290,0.50798028
Mars,2015-06-03,75 4 43.9542,75.07887617,+00 31 0.7877,0.51688547
Mars,2015-06-04,75 46 5.8736,75.76829822,+00 31 32.6679,0.52574108
Mars,2015-06-05,76 27 25.1254,76.45697928,+00 32 4.3684,0.53454678
Mars,2015-06-06,77 8 41.7485,77.14493014,+00 32 35.8889,0.54330247
Mars,2015-06-07,77 49 55.7802,77.83216117,+00 33 7.2301,0.55200836
Mars,2015-06-08,78 31 7.2542,78.51868172,+00 33 38.3932,0.56066478
Mars,2015-06-09,79 12 16.1987,79.20449964,+00 34 9.3805,0.56927236
Mars,2015-06-10,79 53 22.6355,79.88962097,+00 34 40.1946,0.57783183
Mars,2015-06-11,80 34 26.5794,80.57404983,+00 35 10.8390,0.58634417
Mars,2015-06-12,81 15 28.0373,81.25778814,+00 35 41.3170,0.59481028
Mars,2015-06-13,81 56 27.0094,81.94083594,+00 36 11.6320,0.60323111
Mars,2015-06-14,82 37 23.4896,82.62319156,+00 36 41.7873,0.61160758
Mars,2015-06-15,83 18 17.4670,83.30485194,+00 37 11.7855,0.61994042
Mars,2015-06-16,83 59 8.9281,83.98581336,+00 37 41.6288,0.62823022
Mars,2015-06-17,84 39 57.8582,84.66607172,+00 38 11.3183,0.63647731
Mars,2015-06-18,85 20 44.2438,85.34562328,+00 38 40.8546,0.64468183
Mars,2015-06-19,86 1 28.0738,86.02446494,+00 39 10.2376,0.65284378
Mars,2015-06-20,86 42 9.3406,86.70259461,+00 39 39.4665,0.66096292
Mars,2015-06-21,87 22 48.0403,87.38001119,+00 40 8.5400,0.66903889
Mars,2015-06-22,88 3 24.1732,88.05671478,+00 40 37.4566,0.67707128
Mars,2015-06-23,88 43 57.7433,88.73270647,+00 41 6.2145,0.68505958
Mars,2015-06-24,89 24 28.7581,89.40798836,+00 41 34.8117,0.69300325
Mars,2015-06-25,90 4 57.2289,90.08256358,+00 42 3.2461,0.70090169
Mars,2015-06-26,90 45 23.1700,90.75643611,+00 42 31.5154,0.70875428
Mars,2015-06-27,91 25 46.5993,91.42961092,+00 42 59.6176,0.71656044
Mars,2015-06-28,92 6 7.5387,92.10209408,+00 43 27.5505,0.72431958
Mars,2015-06-29,92 46 26.0139,92.77389275,+00 43 55.3120,0.73203111
Mars,2015-06-30,93 26 42.0553,93.44501536,+00 44 22.9002,0.73969450
Mars,2015-07-01,94 6 55.7258,94.11547939,+00 44 50.3142,0.74730950
Mars,2015-07-02,94 47 7.0084,94.78528011,+00 45 17.5522,0.75487561
Mars,2015-07-03,95 27 15.9735,95.45443708,+00 45 44.6146,0.76239294
Mars,2015-07-04,96 7 22.6646,96.12296239,+00 46 11.5020,0.76986167
Mars,2015-07-05,96 47 27.1244,96.79086789,+00 46 38.2160,0.77728222
Mars,2015-07-06,97 27 29.3925,97.45816458,+00 47 4.7593,0.78465536
Mars,2015-07-07,98 7 29.5027,98.12486186,+00 47 31.1351,0.79198197
Mars,2015-07-08,98 47 27.4819,98.79096719,+00 47 57.3471,0.79926308
Mars,2015-07-09,99 27 23.3493,99.45648592,+00 48 23.3994,0.80649983
Mars,2015-07-10,100 7 17.1163,100.12142119,+00 48 49.2959,0.81369331
Mars,2015-07-11,100 47 8.7872,100.78577422,+00 49 15.0401,0.82084447
Mars,2015-07-12,101 26 58.3604,101.44954456,+00 49 40.6353,0.82795425
Mars,2015-07-13,102 6 45.8295,102.11273042,+00 50 6.0839,0.83502331
Mars,2015-07-14,102 46 31.1851,102.77532919,+00 50 31.3878,0.84205217
Mars,2015-07-15,103 26 14.4160,103.43733778,+00 50 56.5481,0.84904114
Mars,2015-07-16,104 5 55.5104,104.09875289,+00 51 21.5652,0.85599033
Mars,2015-07-17,104 45 34.4579,104.75957164,+00 51 46.4389,0.86289969
Mars,2015-07-18,105 25 11.2497,105.41979158,+00 52 11.1684,0.86976900
Mars,2015-07-19,106 4 45.8798,106.07941106,+00 52 35.7526,0.87659794
Mars,2015-07-20,106 44 18.3450,106.73842917,+00 53 0.1899,0.88338608
Mars,2015-07-21,107 23 48.6456,107.39684600,+00 53 24.4787,0.89013297
Mars,2015-07-22,108 3 16.7846,108.05466239,+00 53 48.6171,0.89683808
Mars,2015-07-23,108 42 42.7685,108.71188014,+00 54 12.6032,0.90350089
Mars,2015-07-24,109 22 6.6068,109.36850189,+00 54 36.4350,0.91012083
Mars,2015-07-25,110 1 28.3125,110.02453125,+00 55 0.1107,0.91669742
Mars,2015-07-26,110 40 47.9018,110.67997272,+00 55 23.6282,0.92323006
Mars,2015-07-27,111 20 5.3954,111.33483206,+00 55 46.9860,0.92971833
Mars,2015-07-28,111 59 20.8185,111.98911625,+00 56 10.1827,0.93616186
Mars,2015-07-29,112 38 34.2014,112.64283372,+00 56 33.2171,0.94256031
Mars,2015-07-30,113 17 45.5797,113.29599436,+00 56 56.0889,0.94891358
Mars,2015-07-31,113 56 54.9937,113.94860936,+00 57 18.7986,0.95522183
