# demi-gd axe [UA]	période [j]	masse [m_jupiter]	masse étoile [m_solaire]
0.49279	122.72	0.0743252	1.06
3.13296	1966.1	1.34632	1.06
0.598618	163.94	5.00638	1.06
1.19018	461.2	1.46957	1.056
0.807929	258.18	1.56347	1.054
5.82513	5000	0.804926	1.054
0.0521068	4.230785	0.461143	1.054
1.94413	963.6	1.83614	1.054
0.355656	75.523	0.249652	1.052
0.034116	2.245715	0.39615	1.05
0.0466557	3.57532	10.3882	1.05
2.33982	1275	1.3131	1.05
0.0854177	8.886593	2.95364	1.05
1.50087	653.21997	9.4752	1.048
0.86856	288.822	0.220004	1.0479
3.07131	1920.1	3.50088	1.045
0.267621	49.514	0.026473	1.043
0.895669	303.158	0.0729242	1.043
0.103167	11.8681707	0.00441201	1.04
0.678014	199.505	4.9174	1.04
0.0480499	3.7681	2.46001	1.04
0.136086	17.9801235	0.0149563	1.04
0.0689299	6.48163	0.0182069	1.04
0.151991	21.2227	0.0199023	1.04
4.83146	3805.6705	1.9422	1.037
0.042091	3.0965828	0.510056	1.037
3.73753	2597	1.8189	1.031
0.080153	8.158715	2.13797	1.03
0.105496	12.3318	0.0236121	1.03
0.0800144	8.14561	0.0185071	1.03
0.049283	3.941534	0.918464	1.027
0.0635202	5.7727	0.0240044	1.026
0.0433674	3.257215	0.627833	1.025
0.136688	18.20132	3.57989	1.025
2.26097	1224	4.39876	1.025
0.0238229	1.327347	1.83923	1.022
5.14931	4218	1.88123	1.022
0.12557	16.092	0.0497212	1.02
0.170752	25.5169	0.0525494	1.02
0.0262601	1.5373653	2.26929	1.02
3.94498	2831.6	1.60642	1.02
2.3791	1319	13.1868	1.02
0.0571382	4.942782	0.662431	1.018
3.26519	2127.7	9.26951	1.017
0.0571073	4.94737	0.101571	1.015
0.646509	188.3	2.8556	1.014
1.02831	377.8	2.4209	1.014
0.0964692	10.863502	1.95154	1.013
1.59509	730.6	2.4433	1.012
1.31895	550	1.98809	1.01
0.0271923	1.6284229	1.62423	1.01
0.328074	68.27	0.768085	1.01
0.0532575	4.465633	0.571173	1.01
2.62431	1544	1.49247	1.01
0.0465813	3.652836	0.567181	1.01
0.0520747	4.3176782	0.583354	1.01
0.0715732	6.958	0.346328	1.01
0.0521087	4.322482	0.300272	1.01
2.61147	1531	6.95913	1.007
0.0265195	1.5732918	1.27137	1.004
0.0240531	1.3600309	1.75921	1.002
3.18072	2068	1.90944	1.002
0.0508651	4.1877537	1.15251	1
0.243344	43.8445	0.0203863	1
0.0266925	1.592851	0.0121773	1
0.283337	55.01307	2.80174	1
3.81754	2720	3.36552	1
0.65375	192.9	1.81548	1
0.0496334	4.0378962	0.462537	1
0.189213	30.052	0.698769	1
0.248169	45.1555023	0.143868	1
1.18713	472.3	0.589265	1
0.140548	19.243158	0.248945	1
0.379271	85.3128662	0.108813	1
0.0498411	4.0845	0.071203	0.99
2.38704	1353.6	0.348285	0.99
0.0657994	6.16486	0.00144019	1
0.125499	16.23844	0.0261659	1
1.03378	383.70001	1.16502	1
0.109809	13.2907	0.0251535	1
0.22473	38.90861	0.168671	1
0.0928723	10.3376	0.0397121	1
0.107552	12.883	0.096	1
0.08295	8.726	0.0172355	1
0.0149747	0.6693109	0	1
0.0417858	3.1186009	0.842294	1
0.111348	13.5708	0.019662	1
0.0473714	3.764825	0.57847	1

